model,hidden_size,num_layers,val_mse
LSTM,32,1,0.0015127568040043116
LSTM,64,1,0.0017497806111350656
LSTM,64,2,0.0017263548914343118
LSTM,128,1,0.0015846266644075513
GRU,32,1,0.0010508590028621256
GRU,64,1,0.0010789652820676564
GRU,64,2,0.0011228607036173344
GRU,128,1,0.0010642279754392802
