,MAE,MSE,RMSE,MAPE(%),R2
30-min (6-step),1.0993688106536865,1.7459931373596191,1.3213603359264343,1.70780348777771,0.05331707000732422
60-min (12-step),1.2384387254714966,2.3424627780914307,1.530510626585595,1.9230222702026367,-0.3576521873474121
